epoch,step,train_loss
49,49,0.9987080693244934
99,99,0.8709015846252441
149,149,0.5645262598991394
199,199,0.5413160920143127
249,249,0.5261890292167664
299,299,0.5028939247131348
349,349,0.4807533919811249
399,399,0.45684951543807983
449,449,0.4306073486804962
499,499,0.4063911437988281
549,549,0.38592010736465454
599,599,0.35754507780075073
649,649,0.3376982510089874
699,699,0.3143634498119354
749,749,0.29518818855285645
799,799,0.2769761383533478
849,849,0.2596126198768616
899,899,0.24441926181316376
949,949,0.23038415610790253
999,999,0.21476076543331146
