score_thresh,dist_thresh,ap,precision,recall,f1,tp,fp,fn,num_preds,num_targets,num_frames,fp_per_frame,mean_loc_error
0.1,0.5,0.07606387746659483,0.020560214966207965,0.37884471117779445,0.03900366866190384,505,24057,828,24562,1333,1072,22.441231343283583,0.32667192117397154
0.1,1.0,0.19929430725179564,0.03480986890318378,0.641410352588147,0.06603591426916391,855,23707,478,24562,1333,1072,22.11473880597015,0.5204216522288204
0.1,1.5,0.2500193878699112,0.04250468202915072,0.7831957989497375,0.08063332689708437,1044,23518,289,24562,1333,1072,21.938432835820894,0.7251353878736772
0.1,2.0,0.26459627845209976,0.044458920283364546,0.8192048012003,0.08434060629465148,1092,23470,241,24562,1333,1072,21.89365671641791,0.8369201043779559
0.15,0.5,0.07606387746659483,0.056236383442265794,0.30982745686421603,0.09519419154085515,413,6931,920,7344,1333,1072,6.465485074626866,0.3440782442349053
0.15,1.0,0.19929430725179564,0.09163943355119826,0.5048762190547637,0.15512273827359685,673,6671,660,7344,1333,1072,6.22294776119403,0.5191808566417039
0.15,1.5,0.2500193878699112,0.10934095860566449,0.6024006001500375,0.1850870116399677,803,6541,530,7344,1333,1072,6.101679104477612,0.6825080268988942
0.15,2.0,0.26459627845209976,0.11424291938997821,0.6294073518379595,0.19338481041834737,839,6505,494,7344,1333,1072,6.068097014925373,0.7634548358132492
0.2,0.5,0.07606387746659483,0.10576616756928958,0.2490622655663916,0.148479427549195,332,2807,1001,3139,1333,1072,2.6184701492537314,0.34404368081374875
0.2,1.0,0.19929430725179564,0.16852500796431985,0.3968492123030758,0.23658318425760283,529,2610,804,3139,1333,1072,2.4347014925373136,0.5070422399928034
0.2,1.5,0.2500193878699112,0.19305511309334183,0.45461365341335336,0.27101967799642224,606,2533,727,3139,1333,1072,2.362873134328358,0.6218865123854193
0.2,2.0,0.26459627845209976,0.19783370500159286,0.46586646661665415,0.27772808586762077,621,2518,712,3139,1333,1072,2.3488805970149254,0.6756994253163471
0.25,0.5,0.07606387746659483,0.17861635220125785,0.21305326331582897,0.19432090318166267,284,1306,1049,1590,1333,1072,1.2182835820895523,0.34527475995316226
0.25,1.0,0.19929430725179564,0.27547169811320754,0.3285821455363841,0.2996920971604516,438,1152,895,1590,1333,1072,1.0746268656716418,0.49231535112192154
0.25,1.5,0.2500193878699112,0.3012578616352201,0.35933983495873967,0.32774546698597334,479,1111,854,1590,1333,1072,1.0363805970149254,0.5755754465708597
0.25,2.0,0.26459627845209976,0.3069182389937107,0.36609152288072017,0.3339035237769415,488,1102,845,1590,1333,1072,1.0279850746268657,0.611553931462401
0.3,0.5,0.07606387746659483,0.21997621878715815,0.13878469617404351,0.1701931922723091,185,656,1148,841,1333,1072,0.6119402985074627,0.3101670648466878
0.3,1.0,0.19929430725179564,0.3638525564803805,0.22955738934733683,0.28150873965041395,306,535,1027,841,1333,1072,0.49906716417910446,0.47674821253886146
0.3,1.5,0.2500193878699112,0.4054696789536266,0.2558139534883721,0.3137074517019319,341,500,992,841,1333,1072,0.4664179104477612,0.5625349194329762
0.3,2.0,0.26459627845209976,0.4173602853745541,0.2633158289572393,0.32290708371665133,351,490,982,841,1333,1072,0.457089552238806,0.5978987198687575
0.35,0.5,0.07606387746659483,0.30808080808080807,0.09152288072018004,0.14112203585887798,122,274,1211,396,1333,1072,0.2555970149253731,0.30168739994751975
0.35,1.0,0.19929430725179564,0.5050505050505051,0.15003750937734434,0.23134759976865238,200,196,1133,396,1333,1072,0.1828358208955224,0.46173823345988635
0.35,1.5,0.2500193878699112,0.547979797979798,0.16279069767441862,0.25101214574898784,217,179,1116,396,1333,1072,0.1669776119402985,0.5207407175194878
0.35,2.0,0.26459627845209976,0.5631313131313131,0.16729182295573894,0.25795257374204744,223,173,1110,396,1333,1072,0.16138059701492538,0.5526843142319345
0.4,0.5,0.07606387746659483,0.3732394366197183,0.03975993998499625,0.07186440677966102,53,89,1280,142,1333,1072,0.0830223880597015,0.2791679348146146
0.4,1.0,0.19929430725179564,0.6267605633802817,0.06676669167291822,0.1206779661016949,89,53,1244,142,1333,1072,0.049440298507462684,0.4376210285614102
0.4,1.5,0.2500193878699112,0.6690140845070423,0.07126781695423856,0.1288135593220339,95,47,1238,142,1333,1072,0.043843283582089554,0.4831339374124363
0.4,2.0,0.26459627845209976,0.676056338028169,0.07201800450112528,0.13016949152542373,96,46,1237,142,1333,1072,0.04291044776119403,0.4980945693537173
0.45,0.5,0.07606387746659483,0.375,0.00450112528132033,0.008895478131949592,6,10,1327,16,1333,1072,0.009328358208955223,0.2117330821419027
0.45,1.0,0.19929430725179564,0.8125,0.009752438109527382,0.01927353595255745,13,3,1320,16,1333,1072,0.002798507462686567,0.47052825631535244
0.45,1.5,0.2500193878699112,0.875,0.010502625656414103,0.020756115641215715,14,2,1319,16,1333,1072,0.0018656716417910447,0.5352388339270852
0.45,2.0,0.26459627845209976,0.875,0.010502625656414103,0.020756115641215715,14,2,1319,16,1333,1072,0.0018656716417910447,0.5352388339270852
