score_thresh,dist_thresh,ap,precision,recall,f1,tp,fp,fn,num_preds,num_targets,num_frames,fp_per_frame,mean_loc_error,mean_depth_error,mean_lateral_error,mean_euclidean_error,mean_range_error,mean_bearing_error_deg,mean_depth_bias,mean_lateral_bias
0.1,0.5,0.34442870230092454,0.19027355623100303,0.4696174043510878,0.2708198139736102,626,2664,707,3290,1333,1072,2.485074626865672,0.25620884172186104,0.18506755615575626,0.13455641237548746,0.2562088437017567,0.19147977200487443,0.6362452884270114,-0.011199523846562297,0.003155975546033238
0.1,1.0,0.6060190277941935,0.2844984802431611,0.7021755438859715,0.4049318624269955,936,2354,397,3290,1333,1072,2.1958955223880596,0.4096317046753176,0.2835197992559172,0.22168538877820101,0.40963170089626394,0.3334356234991201,0.8195991009001365,-0.041672643051188216,0.007535272755492956
0.1,1.5,0.6647632687843804,0.30303951367781157,0.7479369842460615,0.43132165260653255,997,2293,336,3290,1333,1072,2.138992537313433,0.47025516547897456,0.33426869991669805,0.24189304582468246,0.47025517449835486,0.3943736200054669,0.8533398962033625,-0.036679342613296737,0.006953747264868995
0.1,2.0,0.6955612104387601,0.3139817629179331,0.7749437359339835,0.4468959550075708,1033,2257,300,3290,1333,1072,2.105410447761194,0.5433011927145152,0.40179143859017624,0.25950933672985405,0.5433012184144481,0.46234265876762337,0.9103802644924365,-0.043315072373522216,0.008137719217049533
0.15,0.5,0.34442870230092454,0.2534504391468005,0.45461365341335336,0.32545649838882923,606,1785,727,2391,1333,1072,1.6651119402985075,0.2552214024320861,0.18468486082435834,0.13348784072711917,0.2552214096631609,0.19183698258657833,0.6147903741291746,-0.008073278386207304,0.0010330829855435752
0.15,1.0,0.6060190277941935,0.37975742367210374,0.6811702925731433,0.48764769065520946,908,1483,425,2391,1333,1072,1.3833955223880596,0.4076785701121908,0.2811753155113842,0.22127678422544497,0.40767857179814776,0.333481474880008,0.7897657549875349,-0.04141653174870865,0.008394561330521159
0.15,1.5,0.6647632687843804,0.40401505646173147,0.7246811702925732,0.518796992481203,966,1425,367,2391,1333,1072,1.3292910447761195,0.4647240916528411,0.328150423046965,0.24052028278154985,0.4647241055069346,0.3902230697735429,0.8273297815666227,-0.04376447706735899,0.00846628477993589
0.15,2.0,0.6955612104387601,0.41405269761606023,0.7426856714178545,0.5316863587540278,990,1401,343,2391,1333,1072,1.3069029850746268,0.5205749639917294,0.37970351269750885,0.2524895956006014,0.5205749860350677,0.4434812968500028,0.8644707222228567,-0.050823262123146445,0.007977425438737628
0.2,0.5,0.34442870230092454,0.33408705483323914,0.4433608402100525,0.38104448742746616,591,1178,742,1769,1333,1072,1.0988805970149254,0.25424553196893684,0.18411922212784665,0.132683526125757,0.25424554235660907,0.19183096181738635,0.6085184349084242,-0.004970443228578003,-0.0012916881345250279
0.2,1.0,0.6060190277941935,0.4889768230638779,0.6489122280570142,0.5577047066408768,865,904,468,1769,1333,1072,0.8432835820895522,0.39831764153518334,0.27418041725379194,0.21703190334098188,0.3983176499104441,0.3258705271050446,0.7624557081731065,-0.037371194982804314,0.016363957550139786
0.2,1.5,0.6647632687843804,0.5178066704352742,0.687171792948237,0.5905867182462927,916,853,417,1769,1333,1072,0.7957089552238806,0.4496751548542254,0.316324920373192,0.2338544079773616,0.4496751711828619,0.37631875299083006,0.8017710863417193,-0.04386626815171221,0.020550017960890152
0.2,2.0,0.6955612104387601,0.5302430751837196,0.7036759189797449,0.6047711154094133,938,831,395,1769,1333,1072,0.7751865671641791,0.4999518151718059,0.36491216194909265,0.24045682360511472,0.49995183858433445,0.4241708369656312,0.8332060221302013,-0.05267999599229044,0.02056695214673273
0.25,0.5,0.34442870230092454,0.4306625577812018,0.41935483870967744,0.4249334853667807,559,739,774,1298,1333,1072,0.6893656716417911,0.2532091873795645,0.18310584237195937,0.13157415948474982,0.25320919487095717,0.19275419894472148,0.6080450074042001,-0.002036121962108851,-0.004739445909084703
0.25,1.0,0.6060190277941935,0.6147919876733436,0.5986496624156039,0.6066134549600913,798,500,535,1298,1333,1072,0.4664179104477612,0.3892868129757088,0.2664951220490879,0.21226658174455315,0.38928682213485166,0.3195624447261209,0.7587796869087843,-0.029473389001717244,0.019016450761180175
0.25,1.5,0.6647632687843804,0.6448382126348228,0.627906976744186,0.6362599771949828,837,461,496,1298,1333,1072,0.4300373134328358,0.43237358491585465,0.30044448760248,0.22777262786258648,0.43237360288689486,0.3621497409257339,0.7874208054856472,-0.03376650012664613,0.02925772320928682
0.25,2.0,0.6955612104387601,0.6610169491525424,0.6436609152288072,0.652223489167617,858,440,475,1298,1333,1072,0.41044776119402987,0.4783709874330442,0.3439265167240774,0.23408039322769864,0.478371012750748,0.40600893603748556,0.8147615532381499,-0.043989576381959,0.028228770641909613
0.3,0.5,0.34442870230092454,0.5142576204523107,0.39234808702175544,0.44510638297872346,523,494,810,1017,1333,1072,0.4608208955223881,0.24843634075320606,0.18072280920258443,0.12696865433203786,0.2484363473566535,0.1913190001277431,0.5991764210985184,0.0008662973261700078,-0.007205751398667323
0.3,1.0,0.6060190277941935,0.7187807276302851,0.5483870967741935,0.622127659574468,731,286,602,1017,1333,1072,0.2667910447761194,0.37778217487743493,0.25948334066388384,0.20229650602743499,0.377782191194598,0.31479327581905814,0.721650671777815,-0.030441904524608775,0.029402449268404338
0.3,1.5,0.6647632687843804,0.7531956735496559,0.5746436609152288,0.6519148936170213,766,251,567,1017,1333,1072,0.23414179104477612,0.4170296846154969,0.29106427017142195,0.21598048296613576,0.4170297092650467,0.35328638839795995,0.7394886618544432,-0.03675033560620898,0.0407404810161021
0.3,2.0,0.6955612104387601,0.7708947885939036,0.5881470367591898,0.6672340425531915,784,233,549,1017,1333,1072,0.21735074626865672,0.4576716155939532,0.33204973747535627,0.21902150482566532,0.4576716419596804,0.39121009451008776,0.7647885648198264,-0.0527777054480144,0.042628080968992135
0.35,0.5,0.34442870230092454,0.6174242424242424,0.3668417104276069,0.460235294117647,489,303,844,792,1333,1072,0.2826492537313433,0.2444655425526638,0.17825807189161305,0.1246288632231256,0.24446554968950435,0.18890903450653748,0.5916591204676209,0.003098746262688822,-0.01226866414393384
0.35,1.0,0.6060190277941935,0.8320707070707071,0.4943735933983496,0.6202352941176471,659,133,674,792,1333,1072,0.12406716417910447,0.36057215847970725,0.24637909977497569,0.19143994070012943,0.36057217275131953,0.3005666827976075,0.7064415477672927,-0.02181869356331948,0.041801972063159366
0.35,1.5,0.6647632687843804,0.8661616161616161,0.5146286571642911,0.6456470588235295,686,106,647,792,1333,1072,0.09888059701492537,0.39512550213846503,0.27553996330795066,0.20254542177363838,0.39512552419271796,0.33382037789896557,0.7245597612249708,-0.02810806783225724,0.04851340537798474
0.35,2.0,0.6955612104387601,0.8838383838383839,0.5251312828207052,0.6588235294117647,700,92,633,792,1333,1072,0.08582089552238806,0.4264464708404356,0.3063998515265329,0.20556864830532245,0.42644649552401387,0.36527771158483147,0.7373206836328995,-0.04458934715815953,0.053126583062112334
0.4,0.5,0.34442870230092454,0.7003105590062112,0.33833458364591146,0.45624683864441073,451,193,882,644,1333,1072,0.18003731343283583,0.24204545721981563,0.1807192265326591,0.11894515739906654,0.2420454664710197,0.18902830333744525,0.5816374451721144,0.002348611201521034,-0.018746775742248527
